Description,TotalSalesDollars,ProfitMargin
Barefoot Cellars Winter Red,6105.899999999978,32.65415417874492
Barefoot Crisp White Spritz,271.65999999999997,4.586615622469256
Barefoot Perfectly Pink,1145.570000000001,30.181481707796188
Barefoot Refresh Crisp Red,546.0800000000003,45.88704951655438
Barefoot Summer Red Spritzer,367.5400000000001,16.25401316863474
Barefoot Syrah Cal,7928.179999999959,36.15411490900384
Barefoot Znfdl Cal,613.1800000000001,22.83855068444599
Barenjager Honey & Bourbon,9154.679999999955,63.66142781615506
Barkan Clsc Cab Svgn,9121.479999999932,34.265930528817236
Barkan Clsc Chard,1189.1500000000005,33.03115670857338
Barkan Clsc Merlot,6015.699999999966,31.172099672523167
Baron K Kabinett,911.5200000000003,52.7777777777778
Baron La Rose Bordeaux Blanc,1988.1100000000015,80.15703356454121
Baron de Seillac Brut Rose,311.76,31.023864511162436
Barra Petite Sirah,160.92999999999998,33.31883427577206
Barrique Chard,1036.3899999999999,10.033867559509432
Barsol Primero Quebranta Pso,1457.3200000000004,27.11552713199573
Bartenura Asti Spumante,2631.149999999997,37.89407673450766
Bartenura Ovidia Est Chianti,2056.5300000000007,52.00070020860383
Barton Gin,6347.219999999963,25.688726718153372
Basilica Amaretto,47.45,85.07903055848261
Basilica Sambuca,7490.899999999935,65.75885407627892
Batavia Arrack Rum,31.99,28.071272272585173
Be. Bright Pnt Grigio,1042.260000000001,74.43056435054595
Beat 3 Single Malt Whiskey,36.99,23.384698567180322
Beat 3 White Kosher Whiskey,2426.1699999999973,15.958898181083656
Beaucanon Merlot Napa,80.97,54.64987032234161
Beaulieu Cstl Clr Slct Chard,174.75,4.618025751072957
Beaux Freres Pnt Nr Will Vly,6898.849999999988,79.26784898932428
Beaux Freres Vyds Pnt Nr,5669.369999999994,93.7347535969605
Becker Family Pnt Bl,395.7800000000001,64.70766587498106
Belguardo Serrata Toscana,2957.0399999999963,90.86924762600437
Bella Bolla Moscato,187.25,8.411214953271028
Bella Bolla Pink Moscato,456.8900000000002,50.31407997548646
Bella Bolla Red Moscato,89.88,33.778371161548726
Bella Bolle Fusione Red,98.89,27.79856406107796
Bella Italia Pnt Grigio Ter,455.52,41.93888303477344
Bella Sera Pnt Nr Venezie,155.76,30.97072419106317
Bellafina Prosecco,1686.4700000000005,47.07169413034327
Belle Ambiance Chard,352.66000000000014,18.561787557420782
Ben Marco Cab Svgn,4284.529999999984,38.412848083686896
Ben Marco Malbec,8271.759999999957,38.938387960965656
Bench Pnt Nr,1363.38,25.06271178981649
Benchmark Egg Nog,6931.979999999976,29.590679719214176
Beniotome Sesame Shochu,4768.4099999999835,99.5342262934605
Benton Lane Pnt Gris Willamt,3853.5899999999997,21.41286374548323
Benvolio Pnt Grigio Friuli,4306.049999999994,89.34708143193876
Benvolio Toscana Rosso,649.5,35.11316397228638
Benziger Pnt Nr Sonoma,2158.9200000000005,34.21710855427717
Beran Znfdl Sonoma Cty,2519.159999999998,21.952555613775974
Berentzen Apple Liqueur,9077.409999999958,81.50639885165474
Berentzen Bushel & Barrel,1333.5800000000013,84.82036799317765
Beringer Classic Wh Zin Spkl,6043.039999999962,30.586095739892034
Beringer Fndrs Est Svgn Bl,7779.649999999936,48.73818230897233
Beringer KVR Cab Svgn,7898.419999999984,29.772283570638052
Beringer Luminus Chard,9945.249999999973,27.14190191297333
Berkshire Mtn Ethereal Gin,1832.4100000000003,86.36113096959741
Bertani Amarone 04,5984.369999999993,92.64133066638593
Bertani Amarone 1993,2039.88,83.33284310841815
Bertani Amarone Valpolicell,8799.119999999994,56.54906399730879
Bertani Secco 11 Orig V Ed,1524.3900000000003,87.64620602339296
Bertani Villa Arvedi Amarone,5998.139999999997,46.80530904975522
Bex Rsl Mosel,5667.109999999963,47.5161060928759
Beyond Svgn Bl,195.45000000000002,40.90560245587107
Big Claw White,194.85,35.026943802925324
Big House Birdman Pnt Grigio,8567.639999999916,27.48960040337758
Big House White,6171.209999999951,49.061669660202654
Big Peat Scotch,8139.629999999982,47.771090332115726
Bigi Orvieto Clsc Vendemmia,419.65000000000003,32.31502442511617
Billette Bousquet Prov Rose,1067.1100000000001,22.76709992409406
Binyamina Cab Svgn,2280.319999999999,4.266944990176768
Binyamina Chard,1673.6700000000008,15.75459917426977
Biokult Gruner Veltliner,279.80000000000007,18.341672623302383
Bird Dog Chocolate Whiskey,8970.269999999942,48.15719036327747
Bird Dog Hot Cinnamon Whisky,152.91,24.249558563861097
Bird Dog Maple Whiskey,1865.4600000000007,31.443182914669887
Bisol Crede Prosseco Super V,263.88,34.60663938153706
Bitch Vodka,945.5700000000002,39.35086773057522
Black & White Scotch,3481.7099999999914,17.75880242754261
Black Box Moscato B/B,134.91,70.76569564895115
Black Button Citrus Gin,9032.829999999967,73.71366448831643
Black Pearl Oro,8298.959999999952,21.0937274068071
Black Stallion Chard Napa Vy,2670.3299999999967,9.579714866701776
Blackbird Vyds Arise Red,3550.3299999999963,34.51538307706603
Blackstone Delectable Red,4646.639999999972,39.8907597748047
